rank,ticker,company,sector,industry,latest_price,market_cap,momentum_20d,momentum_5d,volume_ratio,vol_5_50,rs_vs_iwm,bb_width,low_vol,near_high,pct_vs_sma20,pct_vs_sma50,atr_pct,sales_qq,eps_qq,fwd_pe,recom,target_upside,beta,earnings,short_float,review_flag,data_confidence,composite_score,composite_legacy,composite_dedup,rank_low_vol,rank_near_high,rank_vol_5_50,market_cap_display
25,REI,Ring Energy Inc,Energy,Oil & Gas E&P,1.46,380390000.0,-1.35,-3.95,3.07,1.515,3.94,0.1046,-2.4471,-7.59,-1.75,7.07,4.012,26.729999999999997,173.32,5.9,1.67,42.5,0.97,Aug 05/a,3.02,,HIGH,0.8011,0.8007,0.7727,0.5864661654135338,0.9010025062656641,0.7894736842105263,$380M
26,TALO,Talos Energy Inc,Energy,Oil & Gas E&P,17.01,2840000000.0,-2.63,-3.68,2.54,1.558,2.66,0.1001,-2.173,-9.16,-1.21,7.26,3.8,56.53,183.96,17.61,1.69,18.6,0.42,Aug 04/a,7.54,,HIGH,0.7972,0.7548,0.7727,0.6666666666666666,0.850250626566416,0.8126566416040101,$2.8B
27,DC,Dakota Gold Corp,Basic Materials,Gold,6.11,819800000.0,-0.65,4.8,3.58,1.396,4.64,0.1157,-2.8417,-5.78,1.61,11.38,4.697,,-8.15,,1.0,97.9,1.24,Sep 02,6.64,,HIGH,0.7915,0.8171,0.7577,0.48872180451127817,0.9429824561403509,0.7161654135338346,$820M
28,WBI,WaterBridge Infrastructure LLC,Energy,Oil & Gas Equipment & Services,30.86,3810000000.0,-2.65,-3.05,5.83,1.91,2.64,0.0815,-1.7333,-16.35,-3.36,-6.01,3.347,128.0,-36.37,46.02,1.44,18.3,0.17,Aug 05/a,14.18,,HIGH,0.7892,0.8486,0.7995,0.8007518796992481,0.6284461152882206,0.9285714285714286,$3.8B
29,INVX,Innovex International Inc,Energy,Oil & Gas Equipment & Services,28.8,2009999999.9999998,-1.77,-0.96,3.72,1.76,3.52,0.1034,-2.1993,-14.57,-2.96,0.48,4.04,9.21,62.24000000000001,15.54,1.4,19.8,0.91,Aug 03/a,4.81,,HIGH,0.7884,0.818,0.8023,0.6604010025062657,0.6954887218045113,0.8884711779448622,$2.0B
30,ACCO,Acco Brands Corp,Industrials,Business Equipment & Supplies,4.17,384920000.0,-1.65,-1.65,2.56,1.292,3.64,0.0602,-1.5785,-8.55,-2.26,-1.24,2.895,5.14,-52.96999999999999,4.33,1.0,91.8,1.17,Jul 30/a,7.03,,HIGH,0.7873,0.8111,0.7227,0.8408521303258145,0.8703007518796992,0.6284461152882206,$385M
31,SBH,Sally Beauty Holdings Inc,Consumer Cyclical,Specialty Retail,15.79,1480000000.0,-4.71,-1.37,2.71,1.235,0.58,0.0813,-1.4155,-8.68,-2.77,-0.54,3.587,0.22999999999999998,24.72,7.05,2.4,7.7,1.03,Aug 03/b,21.87,,HIGH,0.7856,0.7502,0.7342,0.8796992481203008,0.8671679197994987,0.5833333333333334,$1.5B
32,CRGY,Crescent Energy Co,Energy,Oil & Gas E&P,13.9,4590000000.0,-1.14,-4.73,3.19,1.648,4.15,0.1347,-2.5696,-10.15,-1.26,11.61,3.771,55.34,117.15,6.42,1.58,25.5,0.91,Aug 03/a,10.04,,HIGH,0.7828,0.7682,0.7982,0.5526315789473685,0.8245614035087719,0.8464912280701754,$4.6B
33,CCO,Clear Channel Outdoor Holdings Inc,Communication Services,Advertising Agencies,2.38,1210000000.0,0.0,0.0,2.82,0.884,5.29,0.0212,-0.716,-2.46,0.13,-0.44,0.78,8.75,-129.36,192.56,3.25,2.1,2.02,Aug 05/b,7.52,,HIGH,0.7815,0.8624,0.6761,0.9962406015037594,0.9862155388471178,0.20050125313283207,$1.2B
34,NMAX,Newsmax Inc,Communication Services,Broadcasting,10.32,1330000000.0,-4.0,-9.47,4.08,1.822,1.29,0.1147,-2.8165,-14.78,-3.79,8.49,5.688,16.53,103.81,48.0,1.0,79.3,2.6,Aug 13/a,7.9,,HIGH,0.7814,0.7731,0.8072,0.4924812030075188,0.681704260651629,0.9022556390977443,$1.3B
35,DAN,Dana Inc,Consumer Cyclical,Auto Parts,29.81,3210000000.0,-6.02,-1.62,2.9,1.298,-0.73,0.0903,-2.3061,-7.71,-2.31,2.22,3.307,3.88,-100.0,7.47,1.78,30.8,2.02,Aug 06/b,4.52,,HIGH,0.7732,0.7276,0.7151,0.6203007518796992,0.8966165413533834,0.6365914786967418,$3.2B
36,KODK,Eastman Kodak Co,Industrials,Specialty Business Services,9.55,934950000.0,-2.95,4.49,2.93,1.233,2.34,0.1167,-2.2556,-7.37,2.62,5.73,3.029,18.25,135.29,12.24,,25.7,1.57,Aug 04/a,9.22,,HIGH,0.7619,0.7518,0.7224,0.6390977443609023,0.9097744360902256,0.5808270676691729,$935M
37,DNOW,Dnow Inc,Industrials,Industrial Distribution,15.59,2820000000.0,-0.57,-0.32,1.97,1.339,4.72,0.061,-1.9031,-9.36,-1.65,2.7,3.162,108.11999999999999,-148.81,18.82,1.4,20.6,0.89,Aug 06/b,5.49,,HIGH,0.7579,0.7625,0.6869,0.7531328320802005,0.843358395989975,0.6691729323308271,$2.8B
38,AVA,Avista Corp,Utilities,Utilities - Diversified,36.25,3040000000.0,-3.51,-1.09,2.56,1.484,1.78,0.0579,-0.9376,-15.89,-2.77,-7.28,1.543,0.49,142.99,12.96,3.0,11.0,0.21,Aug 03/b,5.24,,HIGH,0.7526,0.7785,0.7282,0.9611528822055138,0.6378446115288221,0.7756892230576441,$3.0B
39,AVO,Mission Produce Inc,Consumer Defensive,Food Distribution,12.9,1130000000.0,-2.93,0.7,2.24,1.324,2.36,0.0897,-1.9572,-9.28,0.46,0.01,3.639,25.8,-137.94,16.54,1.0,27.9,0.44,Sep 08/a,9.31,,HIGH,0.748,0.7341,0.6894,0.7293233082706767,0.8458646616541353,0.6572681704260651,$1.1B
