Date,Ticker,Shares,Buy Price,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity
2025-12-18,TOTAL,,,,,,335.6,33.97,,35.47,371.07
2025-12-19,ATRA,2.0,13.9,27.8,10.0,17.17,34.34,6.54,HOLD,,
2025-12-19,SGML,10.0,10.211142857146664,102.11142857146665,9.2,12.19,121.9,19.79,HOLD,,
2025-12-19,HDSN,9.0,7.0294,63.2646,5.9,7.05,63.45,0.19,HOLD,,
2025-12-19,FCEL,6.0,8.3,49.8,6.8,8.34,50.04,0.24,HOLD,,
2025-12-19,ANIX,10.0,3.376,33.76,2.5,3.3,33.0,-0.76,HOLD,,
2025-12-19,TOTAL,,,,,,302.73,26.0,,64.99,367.72
2025-12-22,ATRA,2.0,13.9,27.8,10.0,17.86,35.72,7.92,HOLD,,
2025-12-22,SGML,5.0,10.211142857146664,51.05571428573331,9.2,13.5,67.5,16.44,HOLD,,
2025-12-22,HDSN,9.0,7.0294,63.2646,5.9,6.94,62.46,-0.8,HOLD,,
2025-12-22,FCEL,6.0,8.3,49.8,6.8,8.76,52.56,2.76,HOLD,,
2025-12-22,ANIX,10.0,3.376,33.76,2.5,3.37,33.7,-0.06,HOLD,,
2025-12-22,FBIO,10.0,3.64,36.4,2.8,3.62,36.2,-0.2,HOLD,,
2025-12-22,TOTAL,,,,,,288.14,26.06,,96.69,384.83
2025-12-23,ATRA,2.0,13.9,27.8,10.0,17.5,35.0,7.2,HOLD,,
2025-12-23,SGML,3.0,10.211142857146664,30.633428571439993,9.2,13.49,40.47,9.84,HOLD,,
2025-12-23,HDSN,9.0,7.0294,63.2646,5.9,6.95,62.55,-0.71,HOLD,,
2025-12-23,FCEL,6.0,8.3,49.8,6.8,8.79,52.74,2.94,HOLD,,
2025-12-23,ANIX,10.0,3.376,33.76,2.5,3.3,33.0,-0.76,HOLD,,
2025-12-23,FBIO,10.0,3.64,36.4,2.8,3.6,36.0,-0.4,HOLD,,
