horizon,phase,signal,n,mean_ic,sd,t_indep,all_positive,first,last
20,3,mom20,4,0.04128573363812588,0.10566613535365897,0.7814373734772206,False,2026-05-08,2026-08-14
20,3,mom5,4,0.01319486516217752,0.11802977508890754,0.22358536483253158,False,2026-05-08,2026-08-14
20,3,mom60_riskadj,4,0.026695632139811392,0.08531616200174669,0.6258048068140911,False,2026-05-08,2026-08-14
20,3,mom60_skip5,4,0.022902791193905356,0.07147782791831103,0.6408362386187779,False,2026-05-08,2026-08-14
20,3,near_high,4,0.1250081447126753,0.15129296114912028,1.6525308747108514,False,2026-05-08,2026-08-14
20,3,squeeze,4,0.11812538964520372,0.09983663242768867,2.3663736801371287,False,2026-05-08,2026-08-14
20,3,squeeze_own,4,0.008687191489551977,0.058746062552679404,0.2957539999131654,False,2026-05-08,2026-08-14
20,3,vol_5_50,4,0.06572480267636811,0.059328979397764874,2.2156053700409415,False,2026-05-08,2026-08-14
20,3,vol_ratio,4,0.08336010407021843,0.03853057801869453,4.326958398068839,True,2026-05-08,2026-08-14
20,3,vs_sma20,4,0.0505142228407128,0.13250138606397416,0.7624708592304625,False,2026-05-08,2026-08-14
20,3,vs_sma50,4,0.0548176925142885,0.1262909797280671,0.8681173054848942,False,2026-05-08,2026-08-14
40,0,composite,2,0.15799895926969,0.09167574372320787,2.437332515290678,True,2026-04-17,2026-06-18
40,0,low_vol,2,0.21045400744644915,0.16244901294233008,1.832125084639297,True,2026-04-17,2026-06-18
40,0,mom20,2,0.04294470424719113,0.00775583677176513,7.830616471916428,True,2026-04-17,2026-06-18
40,0,mom5,2,0.012373321815972733,0.07663984575110583,0.22832143452615247,False,2026-04-17,2026-06-18
40,0,mom60_riskadj,2,-0.032647943575747726,0.00260680607382588,-17.711775744273478,False,2026-04-17,2026-06-18
40,0,mom60_skip5,2,-0.030085765765720404,0.007653400299326658,-5.559319559438866,False,2026-04-17,2026-06-18
40,0,near_high,2,0.1385199411841665,0.05316888925035572,3.6844249004216523,True,2026-04-17,2026-06-18
40,0,squeeze,2,0.1834529066429369,0.1421099932643441,1.8256393000357805,True,2026-04-17,2026-06-18
40,0,squeeze_own,2,0.026210361885031154,0.06501937631420088,0.5700923532916462,False,2026-04-17,2026-06-18
40,0,vol_5_50,2,0.11098963096979764,0.060351782308835575,2.6008020872863793,True,2026-04-17,2026-06-18
40,0,vol_ratio,2,0.1557769833668139,0.10004551203994888,2.2020170429528925,True,2026-04-17,2026-06-18
40,0,vs_sma20,2,0.07024639778516906,0.003335929906141321,29.77982489163036,True,2026-04-17,2026-06-18
40,0,vs_sma50,2,0.0601919122930418,0.07338366172410149,1.1599887047069237,True,2026-04-17,2026-06-18
40,1,composite,2,0.15803025372663299,0.040282650713693365,5.548009481151021,True,2026-04-24,2026-06-26
40,1,low_vol,2,0.16858712333615378,0.11488095143260356,2.0753501193217883,True,2026-04-24,2026-06-26
40,1,mom20,2,0.10489343140278307,0.016144669516305565,9.18827809660939,True,2026-04-24,2026-06-26
40,1,mom5,2,0.1313868362830794,0.1281800057968356,1.4495946121529308,True,2026-04-24,2026-06-26
40,1,mom60_riskadj,2,-0.033521472258776344,0.15069599084673901,-0.3145838215914344,False,2026-04-24,2026-06-26
40,1,mom60_skip5,2,-0.03501883344777946,0.1624116981835438,-0.3049294463035931,False,2026-04-24,2026-06-26
40,1,near_high,2,0.16390486788263886,0.010801980295102105,21.458703012418997,True,2026-04-24,2026-06-26
40,1,squeeze,2,0.09764394269019802,0.1143386967524094,1.2077222494067776,True,2026-04-24,2026-06-26
40,1,squeeze_own,2,-0.08214705509029664,0.02101171469867926,-5.528986143382656,False,2026-04-24,2026-06-26
40,1,vol_5_50,2,0.11971828591412911,0.09642875105368197,1.7557753445294317,True,2026-04-24,2026-06-26
40,1,vol_ratio,2,0.15896827474231046,0.05740341054328336,3.9164064991941996,True,2026-04-24,2026-06-26
40,1,vs_sma20,2,0.13987561586868527,0.005969157106704202,33.139351079335995,True,2026-04-24,2026-06-26
40,1,vs_sma50,2,0.07457659602788172,0.09190500647694175,1.1475678810240957,True,2026-04-24,2026-06-26
40,2,composite,2,0.1444714078766453,0.06420495334958577,3.182206570291125,True,2026-05-01,2026-07-02
40,2,low_vol,2,0.14925368129059596,0.15207777709337308,1.3879515097440895,True,2026-05-01,2026-07-02
40,2,mom20,2,0.1185313980822162,0.006080019052284808,27.570425239361924,True,2026-05-01,2026-07-02
40,2,mom5,2,0.08103018256192278,0.10143078945232961,1.1297751280393602,True,2026-05-01,2026-07-02
40,2,mom60_riskadj,2,-0.020730351775853993,0.14439887881305738,-0.20302889381940872,False,2026-05-01,2026-07-02
40,2,mom60_skip5,2,-0.011513033424370107,0.1492595804138488,-0.10908437480297431,False,2026-05-01,2026-07-02
40,2,near_high,2,0.1435357938511389,0.0585151055097762,3.46902333306663,True,2026-05-01,2026-07-02
40,2,squeeze,2,0.06396287118052334,0.1120240225705111,0.8074800193403427,False,2026-05-01,2026-07-02
40,2,squeeze_own,2,-0.11202861338684315,0.010853977674341342,-14.596711839573588,False,2026-05-01,2026-07-02
40,2,vol_5_50,2,0.15029403060694962,0.01099968764539989,19.323081098303142,True,2026-05-01,2026-07-02
40,2,vol_ratio,2,0.1129835203419243,0.024221746290536316,6.596668335785294,True,2026-05-01,2026-07-02
40,2,vs_sma20,2,0.12346202368327677,0.06465968004230331,2.7003175428131705,True,2026-05-01,2026-07-02
