date,horizon,signal,q,median,mean
2026-08-14,5,mom60_skip5,1,-0.025663713005138256,-0.015880689788819298
2026-08-14,5,mom60_skip5,2,-0.007575840359983155,-0.0038252454832148983
2026-08-14,5,mom60_skip5,3,-0.009193602053318595,-0.007196005963831064
2026-08-14,5,mom60_skip5,4,-0.004640366865901968,-0.00806831146337551
2026-08-14,5,mom60_skip5,5,0.0024272400872844546,0.008520372908788825
2026-08-14,5,mom60_riskadj,1,-0.016181214791303855,-0.010638925910965217
2026-08-14,5,mom60_riskadj,2,-0.014144325182700479,-0.01186526443791825
2026-08-14,5,mom60_riskadj,3,-0.011427764478387614,-0.002398518827337663
2026-08-14,5,mom60_riskadj,4,-0.002926169892119357,-0.012883930810322783
2026-08-14,5,mom60_riskadj,5,0.0017568538105376952,0.011359936462451842
2026-08-14,5,vol_5_50,1,-0.01140016236389274,-0.004549177516457933
2026-08-14,5,vol_5_50,2,-0.007847940268235765,-0.0024156066394497057
2026-08-14,5,vol_5_50,3,-0.006705075766327062,-0.0013379131380383054
2026-08-14,5,vol_5_50,4,-0.004524940326481985,-2.3777483014190025e-05
2026-08-14,5,vol_5_50,5,-0.012500103116243277,-0.018992868780532964
2026-08-14,5,squeeze_own,1,-0.012269926984675661,-0.010444522459836835
2026-08-14,5,squeeze_own,2,-0.00612581735574802,-0.010504728822164749
2026-08-14,5,squeeze_own,3,-0.003584875431446921,0.0011182091905495863
2026-08-14,5,squeeze_own,4,-0.015987376102169826,-0.012164782822213874
2026-08-14,5,squeeze_own,5,-0.002841724634018994,0.0061351332480047375
2026-08-14,5,low_vol,1,-0.05432932123564782,-0.04232291584699104
2026-08-14,5,low_vol,2,-0.013538611549305524,-0.003658042003144353
2026-08-14,5,low_vol,3,0.00406503671064562,0.013860119281800587
2026-08-14,5,low_vol,4,0.0022431490023979705,0.0059436278453973155
2026-08-14,5,low_vol,5,-0.005406999166915005,-0.0016616805823937953
2026-08-14,5,near_high,1,-0.03703711062301529,-0.0272111015637814
2026-08-14,5,near_high,2,-0.00957663974779932,-0.003191934191662742
2026-08-14,5,near_high,3,-0.005663088070268163,0.004312890610930488
2026-08-14,5,near_high,4,0.000793331725636115,-0.0028308717472504863
2026-08-14,5,near_high,5,-0.0010152569177790394,0.002169869194637715
2026-08-14,5,vs_sma50,1,-0.03071896085044168,-0.022860483526049784
2026-08-14,5,vs_sma50,2,-0.012500103116243277,-0.004649959830309809
2026-08-14,5,vs_sma50,3,-0.0074412802447695325,-0.009261046507174872
2026-08-14,5,vs_sma50,4,0.0,-0.0017374350718252637
2026-08-14,5,vs_sma50,5,0.005853699474799967,0.011278041793371909
2026-08-14,5,vs_sma20,1,-0.022508017879094178,-0.014971420941258667
2026-08-14,5,vs_sma20,2,-0.013215842391859134,-0.014688868101655426
2026-08-14,5,vs_sma20,3,-0.0015032286587690624,0.005045159422821938
2026-08-14,5,vs_sma20,4,0.0012121082006162354,0.009040832204905973
2026-08-14,5,vs_sma20,5,-0.010343403409344032,-0.01230255380277191
2026-08-14,5,rule5,1,-0.041666646392978346,-0.03372246020919793
2026-08-14,5,rule5,2,-0.012485026971024715,-0.006473866818001089
2026-08-14,5,rule5,3,0.003654047847965858,0.011250519864455757
2026-08-14,5,rule5,4,-0.004640366865901968,0.007510786742958794
2026-08-14,5,rule5,5,-0.0013130772427728532,-0.005316127277341966
2026-08-14,5,rule5_mom20,1,-0.04462323725477424,-0.0340525445470586
2026-08-14,5,rule5_mom20,2,-0.014502699662394036,-0.006847762210406347
2026-08-14,5,rule5_mom20,3,0.0023256346924547255,0.010060777818192429
2026-08-14,5,rule5_mom20,4,0.00039002453665704095,0.0062251317767458795
2026-08-14,5,rule5_mom20,5,-0.0015032286587690624,-0.0021367505345997995
2026-08-14,10,mom20,1,-0.042439065328458425,-0.032450582625838234
2026-08-14,10,mom20,2,-0.014943925485069953,-0.011401169928786361
2026-08-14,10,mom20,3,-0.018277480926514045,-0.005698329419828952
2026-08-14,10,mom20,4,-0.008147478678322773,-0.011332756404263665
2026-08-14,10,mom20,5,-0.021770718978155745,-0.017511971352549793
2026-08-14,10,vol_ratio,1,-0.017341023733535632,-0.01952203937723134
2026-08-14,10,vol_ratio,2,-0.021832274877808755,-0.021742527241115285
2026-08-14,10,vol_ratio,3,-0.014511071947956422,-0.0037068350991821953
2026-08-14,10,vol_ratio,4,-0.028129017092851927,-0.012632889581470248
2026-08-14,10,vol_ratio,5,-0.02634084156385641,-0.020846219343701122
2026-08-14,10,squeeze,1,-0.043636322021484375,-0.030278529604581713
2026-08-14,10,squeeze,2,-0.02394626102297065,-0.028563681280671945
2026-08-14,10,squeeze,3,-0.01896348160018624,-0.013716652800012209
2026-08-14,10,squeeze,4,-0.011200698846840829,0.0011084400120790088
2026-08-14,10,squeeze,5,-0.015416012146148184,-0.00696697608169519
2026-08-14,10,composite,1,-0.051795581747937525,-0.0404856521173733
2026-08-14,10,composite,2,-0.014119322181753324,-0.005076450670974268
2026-08-14,10,composite,3,-0.011686093071611503,-0.017334357284064263
2026-08-14,10,composite,4,-0.015733742226978598,0.0015315182940717962
2026-08-14,10,composite,5,-0.022401433998045506,-0.01693805458471574
2026-08-14,10,mom5,1,-0.025250808374549183,-0.011877329004592901
