date,horizon,signal,ic
2026-05-29,20,squeeze,0.10186252256782029
2026-05-29,20,composite,0.1273397830034524
2026-05-29,20,mom5,0.04588572731072685
2026-05-29,20,mom60_skip5,0.044799694658925714
2026-05-29,20,mom60_riskadj,0.05241090609628487
2026-05-29,20,vol_5_50,-0.00255696744604278
2026-05-29,20,squeeze_own,0.01277463915342511
2026-05-29,20,low_vol,0.12672273495400913
2026-05-29,20,near_high,0.15662993221720417
2026-05-29,20,vs_sma50,0.06937564352205922
2026-05-29,20,vs_sma20,0.0811366559590312
2026-05-29,20,rule5,0.14706388808115212
2026-05-29,20,rule5_mom20,0.14025029353633495
2026-06-05,5,mom20,-0.005202952330665705
2026-06-05,5,vol_ratio,-0.006348169226210051
2026-06-05,5,squeeze,0.08610636264106364
2026-06-05,5,composite,0.037233772142675814
2026-06-05,5,mom5,0.10828257884706415
2026-06-05,5,mom60_skip5,0.056075146302853145
2026-06-05,5,mom60_riskadj,0.06403396231103166
2026-06-05,5,vol_5_50,0.007103740372435561
2026-06-05,5,squeeze_own,0.03271726684353602
2026-06-05,5,low_vol,0.09598095661444762
2026-06-05,5,near_high,0.11503381253168363
2026-06-05,5,vs_sma50,0.03862415824113417
2026-06-05,5,vs_sma20,0.018612928432503194
2026-06-05,5,rule5,0.09751942657437991
2026-06-05,5,rule5_mom20,0.08311637508504298
2026-06-05,10,mom20,-0.01593633163102261
2026-06-05,10,vol_ratio,0.031001044862862676
2026-06-05,10,squeeze,0.016690767888649597
2026-06-05,10,composite,0.003239002052618952
2026-06-05,10,mom5,0.016944495050666208
2026-06-05,10,mom60_skip5,0.07082708344646055
2026-06-05,10,mom60_riskadj,0.07687562530667362
2026-06-05,10,vol_5_50,0.04225684346196008
2026-06-05,10,squeeze_own,0.013250066840032661
2026-06-05,10,low_vol,0.0006863785490407076
2026-06-05,10,near_high,-0.0008432874097552892
2026-06-05,10,vs_sma50,0.017008884094503914
2026-06-05,10,vs_sma20,-0.05682830059480363
2026-06-05,10,rule5,0.020977875671621977
2026-06-05,10,rule5_mom20,0.008608671687372192
2026-06-05,20,mom20,-0.02203827769334898
2026-06-05,20,vol_ratio,-0.03130547492814007
2026-06-05,20,squeeze,0.14625618687886305
2026-06-05,20,composite,0.022677492266182226
2026-06-05,20,mom5,0.14142870094936894
2026-06-05,20,mom60_skip5,-0.06518365212044412
2026-06-05,20,mom60_riskadj,-0.05320889743638117
2026-06-05,20,vol_5_50,0.03373222363295826
2026-06-05,20,squeeze_own,0.030567680760016404
2026-06-05,20,low_vol,0.18510711428894722
2026-06-05,20,near_high,0.10022583176268568
2026-06-05,20,vs_sma50,0.007057735651195901
2026-06-05,20,vs_sma20,0.13306775095677675
2026-06-05,20,rule5,0.10702415866387316
2026-06-05,20,rule5_mom20,0.08079595349603877
2026-06-12,5,mom20,-0.012033183584702692
2026-06-12,5,vol_ratio,0.0014748551766435413
2026-06-12,5,squeeze,-0.031343406571323805
2026-06-12,5,composite,-0.02806679704716541
2026-06-12,5,mom5,0.05036675307889304
2026-06-12,5,mom60_skip5,0.08122482813394054
2026-06-12,5,mom60_riskadj,0.08195623272211158
2026-06-12,5,vol_5_50,-0.011290849613887741
2026-06-12,5,squeeze_own,-0.010835672637493469
2026-06-12,5,low_vol,-0.06630922340888559
2026-06-12,5,near_high,-0.05390461562973623
2026-06-12,5,vs_sma50,0.041456348932991514
2026-06-12,5,vs_sma20,-0.052440059729852544
2026-06-12,5,rule5,-0.035101841830073546
2026-06-12,5,rule5_mom20,-0.039058125581005264
2026-06-12,10,mom20,0.16646899635236334
2026-06-12,10,vol_ratio,0.087236356146525
2026-06-12,10,squeeze,0.10244285405630571
2026-06-12,10,composite,0.20250970803461188
2026-06-12,10,mom5,0.15290455258901547
2026-06-12,10,mom60_skip5,0.049116132739167796
2026-06-12,10,mom60_riskadj,0.053968641352645334
2026-06-12,10,vol_5_50,-0.001877302133732479
2026-06-12,10,squeeze_own,0.06007506040417209
2026-06-12,10,low_vol,0.10866721011651756
2026-06-12,10,near_high,0.09452020359143389
2026-06-12,10,vs_sma50,0.11630308914632
2026-06-12,10,vs_sma20,0.15538632259001467
2026-06-12,10,rule5,0.12974546838682438
2026-06-12,10,rule5_mom20,0.15177993468600057
2026-06-12,20,mom20,0.168707969640233
2026-06-12,20,vol_ratio,0.11763881291139859
2026-06-12,20,squeeze,0.2351412161253907
2026-06-12,20,composite,0.27255291261206327
2026-06-12,20,mom5,0.18083757366281614
2026-06-12,20,mom60_skip5,-0.011872060452100403
2026-06-12,20,mom60_riskadj,0.003022605018133747
2026-06-12,20,vol_5_50,0.054527872489595446
2026-06-12,20,squeeze_own,0.08496641827246755
2026-06-12,20,low_vol,0.2555905142358894
2026-06-12,20,near_high,0.17214697895948575
2026-06-12,20,vs_sma50,0.09324376089983513
2026-06-12,20,vs_sma20,0.2141438662746057
2026-06-12,20,rule5,0.23950110814832096
2026-06-12,20,rule5_mom20,0.2485567271805652
2026-06-18,5,mom20,0.12998838604120966
2026-06-18,5,vol_ratio,0.21241250965875158
