date,horizon,signal,partial_ic
2026-05-01,20,vol_5_50,0.12726258125056233
2026-05-01,20,squeeze_own,-0.07442410446312782
2026-05-01,20,near_high,0.08077061834325028
2026-05-01,20,vs_sma50,0.102568362764775
2026-05-01,20,vs_sma20,0.11491799167784775
2026-05-01,20,rule5,0.09202171936606837
2026-05-01,20,rule5_mom20,0.1167386628199389
2026-05-08,5,mom20,-0.027961709908457005
2026-05-08,5,vol_ratio,-0.03471377750004597
2026-05-08,5,squeeze,-0.008551678576611111
2026-05-08,5,composite,-0.05390089402180919
2026-05-08,5,mom5,-0.07925220849375748
2026-05-08,5,mom60_skip5,0.08765701269642537
2026-05-08,5,mom60_riskadj,0.10050624175728949
2026-05-08,5,vol_5_50,-0.04133582895259757
2026-05-08,5,squeeze_own,-0.024878247597402696
2026-05-08,5,near_high,0.08005991902982111
2026-05-08,5,vs_sma50,0.010525322215732007
2026-05-08,5,vs_sma20,0.010771286268005236
2026-05-08,5,rule5,-0.021980050895572263
2026-05-08,5,rule5_mom20,-0.0160402668792891
2026-05-08,10,mom20,0.0011081630169633267
2026-05-08,10,vol_ratio,0.05599561010206494
2026-05-08,10,squeeze,-0.041985636334211394
2026-05-08,10,composite,-0.0010371977204011677
2026-05-08,10,mom5,-0.0625683606501224
2026-05-08,10,mom60_skip5,0.06661229780757735
2026-05-08,10,mom60_riskadj,0.07298646853421353
2026-05-08,10,vol_5_50,0.10559414291874583
2026-05-08,10,squeeze_own,-0.09114433291570552
2026-05-08,10,near_high,0.08191772610435111
2026-05-08,10,vs_sma50,0.009552027545846931
2026-05-08,10,vs_sma20,-0.015745001460516085
2026-05-08,10,rule5,0.05035696177217641
2026-05-08,10,rule5_mom20,0.04237071609084123
2026-05-08,20,mom20,0.05000205398843872
2026-05-08,20,vol_ratio,0.06936250957790444
2026-05-08,20,squeeze,0.002650495931083423
2026-05-08,20,composite,0.07307558488149445
2026-05-08,20,mom5,-0.01830096522968329
2026-05-08,20,mom60_skip5,0.053614765727881215
2026-05-08,20,mom60_riskadj,0.06328394030842781
2026-05-08,20,vol_5_50,0.1360589192172807
2026-05-08,20,squeeze_own,-0.06791646483772498
2026-05-08,20,near_high,0.15651053971506673
2026-05-08,20,vs_sma50,0.06632009898132007
2026-05-08,20,vs_sma20,0.04723793432825936
2026-05-08,20,rule5,0.13880786968345155
2026-05-08,20,rule5_mom20,0.1336891538485316
2026-05-15,5,mom20,-0.07015424870560774
2026-05-15,5,vol_ratio,0.032795886276928636
2026-05-15,5,squeeze,-0.04993386401254088
2026-05-15,5,composite,-0.09596778924422314
2026-05-15,5,mom5,-0.07525885007093942
2026-05-15,5,mom60_skip5,-0.04822260517579942
2026-05-15,5,mom60_riskadj,-0.06133665020541486
2026-05-15,5,vol_5_50,0.11452462044382061
2026-05-15,5,squeeze_own,-0.12087139939234391
2026-05-15,5,near_high,-0.045101924611091186
2026-05-15,5,vs_sma50,-0.06483032800476246
2026-05-15,5,vs_sma20,-0.09026826632076485
2026-05-15,5,rule5,-0.05095417955169569
2026-05-15,5,rule5_mom20,-0.06626416358664336
2026-05-15,10,mom20,-0.0402800352363232
2026-05-15,10,vol_ratio,0.030543153556068445
2026-05-15,10,squeeze,-0.013498261508294217
2026-05-15,10,composite,-0.051243016119812385
2026-05-15,10,mom5,-0.15538814679505744
2026-05-15,10,mom60_skip5,0.015260172433913134
2026-05-15,10,mom60_riskadj,0.0029262747688083833
2026-05-15,10,vol_5_50,0.1214399418148736
2026-05-15,10,squeeze_own,-0.03221052559328562
2026-05-15,10,near_high,-0.003716456113559355
2026-05-15,10,vs_sma50,-0.004070393608266528
2026-05-15,10,vs_sma20,-0.05502851864505517
2026-05-15,10,rule5,0.010572503630033512
2026-05-15,10,rule5_mom20,-0.005249242782470055
2026-05-15,20,mom20,-0.0028441773196022577
2026-05-15,20,vol_ratio,0.034080492769384386
2026-05-15,20,squeeze,-0.015334795493903555
2026-05-15,20,composite,-0.003188907119707118
2026-05-15,20,mom5,-0.07229961015682305
2026-05-15,20,mom60_skip5,-0.026322382167162813
2026-05-15,20,mom60_riskadj,-0.023195677540038373
2026-05-15,20,vol_5_50,0.09356117760131974
2026-05-15,20,squeeze_own,-0.0689388177724861
2026-05-15,20,near_high,0.029189941558422052
2026-05-15,20,vs_sma50,0.022147161613764697
2026-05-15,20,vs_sma20,-0.019033334550609095
2026-05-15,20,rule5,0.043341136906644886
2026-05-15,20,rule5_mom20,0.040358558403028565
2026-05-22,5,mom20,0.07014567236881952
2026-05-22,5,vol_ratio,0.11389664210021061
2026-05-22,5,squeeze,0.011564457042193908
