date,horizon,top50_minus_median,top50_mean_vs_mean,top50_median_vs_median,survivor_skew_gap
2026-07-02,40,0.05368200405673074,0.04476609950520552,0.012662755588914387,0.008915904551525217
2026-07-10,5,0.0030978671731904488,0.01210703362665146,0.008886667076268118,-0.00900916645346101
2026-07-10,10,0.009605795139709085,0.01718865313270567,0.01923905254508712,-0.007582857992996586
2026-07-10,20,0.01673897175935672,0.012550249623913804,-0.01664240055143318,0.004188722135442916
2026-07-10,40,-0.003694181896104324,-0.01851502778007698,-0.024676241021638956,0.014820845883972655
2026-07-17,5,0.006714777994880038,0.013552706996706222,0.008038392575530018,-0.006837929001826185
2026-07-17,10,-0.007944242192198393,-0.000623495699028899,0.0008639143143286954,-0.007320746493169494
2026-07-17,20,0.0034594115115849228,-0.003498191621869942,-0.017849164168126652,0.006957603133454865
2026-07-17,40,0.02168615473671113,0.005607648163762434,0.009197093796844913,0.016078506572948695
2026-07-24,5,0.004140836809899979,0.0074900125003315,0.00354109899702848,-0.0033491756904315212
2026-07-24,10,-0.0014092055087815275,-0.007711455702189757,-0.01858057019052406,0.006302250193408229
