ticker,entry,exit,cost,exit_px,shares,pnl,ret,kind,era,spy,iwm,vs_spy,vs_iwm,days,after20_vs_spy
OTLK,2025-11-20,2025-11-26,1.9899999999999998,1.6035,20.0,-7.729999999999997,-0.19422110552763816,discretionary,pre-pivot,0.04160730403998669,0.07939417930755344,-0.23582840956762485,-0.2736152848351916,4,0.06469260271457733
CRDL,2025-11-24,2025-11-27,0.98,1.03571428571,16.0,0.8914285713599988,0.05685131194897952,discretionary,pre-pivot,0.021922172256946926,0.03689036149354563,0.034929139692032596,0.01996095045543389,3,-0.09997661978618655
SGML,2025-11-27,2025-12-01,10.7142857143,11.65,1.0,0.9357142856999996,0.08733333333188353,discretionary,pre-pivot,-0.0045654326011898005,-0.012582942607244685,0.09189876593307333,0.09991627593912822,1,0.157099306571151
SLDB,2025-11-17,2025-12-01,4.279999999999999,5.0401,3.0,2.2803000000000004,0.17759345794392534,discretionary,pre-pivot,0.02193286183188614,0.055250022250571185,0.1556605961120392,0.12234343569335415,9,0.08115783176346358
PEPG,2025-11-10,2025-12-02,4.5,5.18,10.0,6.799999999999997,0.15111111111111097,discretionary,pre-pivot,0.00013208944130060907,0.004671581090809118,0.15097902166981036,0.14643953002030186,15,0.27294182722370364
SGML,2025-11-27,2025-12-08,10.211142857146664,9.8660674154,3.0,-1.035226325239993,-0.03379400783773667,discretionary,pre-pivot,0.0003511732345691243,0.00852261760154538,-0.0341451810723058,-0.04231662543928205,6,0.4698674014812301
CRDL,2025-11-24,2025-12-09,0.98,1.02555555557,16.0,0.7288888891200003,0.046485260785714244,discretionary,pre-pivot,0.021398809985084144,0.0478950179571942,0.0250864508006301,-0.0014097571714799528,10,-0.08652935511126147
ETON,2025-10-27,2025-12-09,18.5,16.37,6.0,-12.78,-0.11513513513513507,discretionary,pre-pivot,-0.003210636903714703,0.00435485011216441,-0.11192449823142037,-0.11948998524729948,30,-0.0026753028357076047
MIST,2025-12-01,2025-12-12,2.5999000000000003,1.81,14.0,-11.058600000000002,-0.30381937766837197,discretionary,pre-pivot,0.0021903432994920813,0.033507076098653554,-0.30600972096786405,-0.3373264537670255,9,-0.21979323926183048
SGML,2025-11-27,2025-12-15,10.211142857146664,11.13,2.0,1.8377142857066744,0.08998572987452036,discretionary,pre-pivot,-0.0038923355222830747,0.01278395738486715,0.09387806539680343,0.07720177248965321,11,0.5888586467583736
MIST,2025-12-12,2025-12-15,2.355,2.4701,11.0,1.266099999999998,0.048874734607218695,discretionary,pre-pivot,-0.0015108498675291404,-0.007563487959096893,0.050385584474747835,0.05643822256631559,1,-0.15147169695390705
FCEL,2025-12-10,2025-12-19,8.3,9.84,3.0,4.619999999999997,0.18554216867469875,discretionary,pre-pivot,-0.007226797455232692,-0.012475991712917911,0.19276896612993144,0.19801816038761666,7,0.11403577051124758
