date,horizon,signal,top_n,mean_vs_mean,median_vs_median
2026-05-22,20,rule5_mom20,50,-0.021294137975209505,0.025194655493846196
2026-05-22,20,near_high,15,-0.06254077124247273,0.023365181707986793
2026-05-22,20,near_high,50,-0.025946740438305842,0.0460805058721479
2026-05-22,20,low_vol,15,-0.03503311217685763,0.022538526355775856
2026-05-22,20,low_vol,50,-0.042142198578255546,0.017557813260220045
2026-05-29,5,composite,15,-0.006638765526399797,-0.009533308898663106
2026-05-29,5,composite,50,-0.003812534249181411,0.0029580067901471274
2026-05-29,5,rule5,15,0.031155477036560252,0.05595409699192777
2026-05-29,5,rule5,50,0.03605848109282278,0.05040949127640626
2026-05-29,5,rule5_mom20,15,0.030379352446803076,0.04523323998332485
2026-05-29,5,rule5_mom20,50,0.021205601476150658,0.033046646921900624
2026-05-29,5,near_high,15,0.0028885164882579695,0.034536057213226834
2026-05-29,5,near_high,50,0.02095504609204768,0.04174362512389507
2026-05-29,5,low_vol,15,0.061878761308440174,0.05942755681800693
2026-05-29,5,low_vol,50,0.054014247737419196,0.05345489290076472
2026-05-29,10,composite,15,-0.0534001595192391,0.022753695748985725
2026-05-29,10,composite,50,-0.0420076020965066,0.0051927404454713555
2026-05-29,10,rule5,15,0.002617102069622965,0.04401165586551786
2026-05-29,10,rule5,50,0.006514623490866583,0.04609765187797793
2026-05-29,10,rule5_mom20,15,-0.006092539909880855,0.04401165586551786
2026-05-29,10,rule5_mom20,50,-0.01729173247739075,0.04090920733824682
2026-05-29,10,near_high,15,-0.03875131886220591,0.033313964943026464
2026-05-29,10,near_high,50,-0.010300679870989187,0.03905627876432777
2026-05-29,10,low_vol,15,0.009497646837591557,0.04549786036474773
2026-05-29,10,low_vol,50,-0.0017900398316002355,0.03507754616015729
2026-05-29,20,composite,15,0.020033071855424987,0.07031764919543249
2026-05-29,20,composite,50,0.007107479591230849,0.0754710299948389
2026-05-29,20,rule5,15,0.012895352339609437,0.04898222143944042
2026-05-29,20,rule5,50,0.017978572903066245,0.044758816454126826
2026-05-29,20,rule5_mom20,15,-0.011102030105593807,0.03816267961814357
2026-05-29,20,rule5_mom20,50,0.006613255998461964,0.06366295851001869
2026-05-29,20,near_high,15,-0.05643920231693063,0.0192162461062948
2026-05-29,20,near_high,50,0.00472030330776399,0.05268712016373156
2026-05-29,20,low_vol,15,-0.0027616466291617743,0.0398704866123587
2026-05-29,20,low_vol,50,-0.03330870105752344,0.022665162838672148
2026-06-05,5,composite,15,-0.005630341015817705,4.56590688531211e-05
2026-06-05,5,composite,50,0.0018270236842105915,0.008647504342456092
2026-06-05,5,rule5,15,0.005078598306573437,0.010221708271801466
2026-06-05,5,rule5,50,0.0037091934072967063,0.0039866285541039215
2026-06-05,5,rule5_mom20,15,0.0036880609825911265,0.01192891901159121
2026-06-05,5,rule5_mom20,50,0.000116488506293623,0.0039866285541039215
2026-06-05,5,near_high,15,0.004432475296247965,0.007375439720799015
2026-06-05,5,near_high,50,-0.0025423367648959583,0.0005539352423263866
