date,horizon,signal,ic_magnitude
2026-04-24,5,mom20,0.007362301824704617
2026-04-24,5,vol_ratio,-0.01870159582211202
2026-04-24,5,squeeze,0.029366684719482537
2026-04-24,5,composite,-0.01293174218384398
2026-04-24,5,mom5,0.07752437145039905
2026-04-24,5,mom60_skip5,0.00542453144972268
2026-04-24,5,mom60_riskadj,-0.025545223383516637
2026-04-24,5,vol_5_50,0.02433380426443346
2026-04-24,5,squeeze_own,-0.01978052163491301
2026-04-24,5,low_vol,0.050138612990627975
2026-04-24,5,near_high,0.07103019030327024
2026-04-24,5,vs_sma50,0.08503128504881993
2026-04-24,5,vs_sma20,0.09047949769362054
2026-04-24,5,rule5,0.02610051558671229
2026-04-24,5,rule5_mom20,0.024258694833132373
2026-04-24,10,mom20,0.09011944327530523
2026-04-24,10,vol_ratio,0.056152970342373494
2026-04-24,10,squeeze,-0.014169332589490475
2026-04-24,10,composite,0.04207938347414679
2026-04-24,10,mom5,0.0002727421229624483
2026-04-24,10,mom60_skip5,-0.017422236044268326
2026-04-24,10,mom60_riskadj,-0.030588230690248255
2026-04-24,10,vol_5_50,0.0567914926152407
2026-04-24,10,squeeze_own,-0.015313889964429282
2026-04-24,10,low_vol,0.01699872393242842
2026-04-24,10,near_high,0.0439913307611111
2026-04-24,10,vs_sma50,0.06002145159932192
2026-04-24,10,vs_sma20,0.12597256006110916
2026-04-24,10,rule5,0.011877820553278287
2026-04-24,10,rule5_mom20,0.032119613066486565
2026-04-24,20,mom20,0.04477364662145685
2026-04-24,20,vol_ratio,0.08380151694048407
2026-04-24,20,squeeze,-0.027942128537123627
2026-04-24,20,composite,0.0289381714397838
2026-04-24,20,mom5,0.07202248321139929
2026-04-24,20,mom60_skip5,0.0032196862994050336
2026-04-24,20,mom60_riskadj,0.0014319056593524986
2026-04-24,20,vol_5_50,0.10835548107460564
2026-04-24,20,squeeze_own,-0.03625946520586193
2026-04-24,20,low_vol,-0.030469277685535562
2026-04-24,20,near_high,0.0566087410134995
2026-04-24,20,vs_sma50,0.07939351269478034
2026-04-24,20,vs_sma20,0.12281332093608473
2026-04-24,20,rule5,0.03723506172106182
2026-04-24,20,rule5_mom20,0.046642145989756675
2026-05-01,5,mom20,0.11067920657674868
2026-05-01,5,vol_ratio,0.027058102637662815
2026-05-01,5,squeeze,-0.043370596964220215
2026-05-01,5,composite,0.03316714657802102
2026-05-01,5,mom5,-0.003454835004998084
2026-05-01,5,mom60_skip5,0.03089381541376667
2026-05-01,5,mom60_riskadj,0.028374262815331768
2026-05-01,5,vol_5_50,0.05655608012767708
2026-05-01,5,squeeze_own,-0.031403543707597015
2026-05-01,5,low_vol,-0.006879511009338309
2026-05-01,5,near_high,0.0499489446435788
2026-05-01,5,vs_sma50,0.04736690008403522
2026-05-01,5,vs_sma20,0.052165244156972546
2026-05-01,5,rule5,0.005822506135359357
2026-05-01,5,rule5_mom20,0.027989014837620656
2026-05-01,10,mom20,0.13497871752752724
2026-05-01,10,vol_ratio,0.0071064229518555955
2026-05-01,10,squeeze,-0.08097288302714813
2026-05-01,10,composite,0.021337389156842388
2026-05-01,10,mom5,0.026553702906454982
2026-05-01,10,mom60_skip5,0.13499968878972057
2026-05-01,10,mom60_riskadj,0.13607637615008408
2026-05-01,10,vol_5_50,0.06107098220362724
2026-05-01,10,squeeze_own,-0.09236765630205605
